DATE,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
2002-04-27,0.79,26.18,2.18,0.42,14.55
2002-04-28,1.18,25.62,2.2,0.43,14.8
2002-04-29,0.05,26.0,2.36,0.45,15.51
2002-04-30,2.08,25.63,2.12,0.41,14.59
2002-05-01,1.75,25.58,2.21,0.43,14.58
2002-05-02,0.06,25.81,2.23,0.43,14.7
2002-05-03,0.53,26.52,2.05,0.4,14.12
2002-05-04,0.26,25.45,1.84,0.36,12.25
2002-05-05,4.4,26.53,1.75,0.34,12.21
2002-05-06,19.81,26.21,1.76,0.34,12.14
2002-05-07,12.07,25.91,1.93,0.38,13.12
2002-05-08,4.63,25.27,1.57,0.3,10.27
2002-05-09,13.65,25.28,1.42,0.28,9.61
2002-05-10,2.19,24.5,0.68,0.13,4.54
2002-05-11,0.22,24.55,1.95,0.38,13.58
2002-05-12,4.5,25.26,1.4,0.27,9.7
2002-05-13,0.25,25.26,2.14,0.41,14.3
2002-05-14,0.22,25.83,2.27,0.44,14.89
2002-05-15,3.97,26.35,1.99,0.38,12.83
2002-05-16,11.61,24.76,2.0,0.38,13.27
2002-05-17,2.23,25.06,2.22,0.42,14.32
2002-05-18,0.01,25.3,2.3,0.44,14.68
